time,acc,magentic,angularVelocity,linAcc,gravAcc,euler,quaternion
20.2,"(-0.18, -9.11, 3.2)","(6.875, 25.0625, -18.0625)","(0.002181661564992912, -0.001090830782496456, 0.002181661564992912)","(0.08, -0.01, -0.04)","(-0.09, -9.290000000000001, 3.12)","(0.0625, -0.5, 71.375)","(0.81207275390625, -0.58355712890625, 0.00604248046875, -0.00048828125)"
21.2,"(-0.48, -8.94, 3.1)","(7.25, 25.875, -18.0625)","(0.009817477042468103, 0.001090830782496456, 0.007635815477475192)","(0.38, -0.73, 0.12)","(-0.07, -9.290000000000001, 3.13)","(0.125, -0.4375, 71.3125)","(0.81231689453125, -0.58319091796875, 0.0054931640625, -0.0010986328125)"
22.19,"(0.04, -9.51, 3.18)","(6.5, 25.0625, -20.5)","(0.002181661564992912, -0.002181661564992912, 0.0)","(-0.31, 0.3, -0.1)","(-0.08, -9.290000000000001, 3.13)","(8.125, -0.4375, 71.3125)","(0.8125, -0.58294677734375, -1.994140625, -0.0008544921875)"
23.2,"(-0.46, -8.85, 2.98)","(6.5, 25.0625, -19.0)","(-0.001090830782496456, 0.002181661564992912, -0.001090830782496456)","(0.18, -0.22, 0.05)","(-0.08, -9.28, 3.14)","(0.0625, -0.5, 71.3125)","(0.8125, -0.58294677734375, 0.006103515625, -0.000732421875)"
24.2,"(0.15, -9.61, 3.2)","(6.875, 24.75, -18.5)","(0.001090830782496456, 0.002181661564992912, 0.0)","(0.0, 0.05, 0.06)","(-0.09, -9.28, 3.14)","(0.0625, -0.5, 71.25)","(0.8125, -0.5828857421875, 0.0062255859375, -0.0006103515625)"
25.2,"(-0.03, -9.290000000000001, 3.13)","(6.875, 24.75, -18.5)","(0.004363323129985824, 0.002181661564992912, 0.00545415391248228)","(-0.29, 0.41000000000000003, -0.31)","(-0.09, -9.28, 3.14)","(0.0625, -0.5, 71.3125)","(0.8125, 1.4171142578125, 0.00634765625, -0.00054931640625)"
26.2,"(0.0, -9.09, 3.21)","(8.375, 25.25, -17.375)","(0.044724062082354694, 0.009817477042468103, 0.03599741582238305)","(1.23, 3.93, -2.75)","(-0.06, -9.290000000000001, 3.11)","(359.625, -0.5625, 70.875)","(0.8155517578125, -0.57861328125, 0.0045166015625, 0.00244140625)"
27.2,"(-0.26, -9.06, 3.23)","(6.75, 24.5, -19.5)","(-0.003272492347489368, 0.001090830782496456, -0.003272492347489368)","(0.27, -1.6300000000000001, 0.1)","(-0.09, -9.24, 3.2600000000000002)","(359.625, -0.5, 70.5)","(0.81640625, -0.57745361328125, 0.00384521484375, 0.0025634765625)"
28.2,"(0.29, -9.540000000000001, 3.2600000000000002)","(6.0625, 23.25, -18.6875)","(-0.00545415391248228, 0.001090830782496456, 0.0)","(-0.39, 0.29, -0.11)","(-0.09, -9.24, 3.2600000000000002)","(359.625, -0.5, 70.5)","(0.8165283203125, -0.57733154296875, 0.0040283203125, 0.002685546875)"
29.2,"(-0.15, -9.18, 3.2800000000000002)","(6.375, 23.25, -19.875)","(-0.002181661564992912, 0.0, 0.003272492347489368)","(-0.03, 0.0, 0.0)","(-0.09, -9.24, 3.27)","(359.5625, -0.5625, 70.5)","(0.8165283203125, -0.5772705078125, 0.00408935546875, 0.0028076171875)"
30.16,"(0.07, -9.370000000000001, 3.2800000000000002)","(14.0625, 24.5, -18.25)","(-0.018544123302439753, 0.1407171709420428, 0.0)","(0.03, -0.01, 0.18)","(-0.1, -9.24, -324.42)","(-1680.4375, -0.5625, 70.5)","(-1.1756591796875, -0.57733154296875, 0.00421142578125, 0.0030517578125)"
