time,acc,magentic,angularVelocity,linAcc,gravAcc,euler,quaternion
87.2,"(-0.16, -8.92, 3.9)","(5.375, 22.6875, -20.375)","(-0.001090830782496456, -0.001090830782496456, -0.001090830782496456)","(0.0, 0.02, 0.0)","(-0.11, -9.0, 3.89)","(-1688.5625, -0.625, 66.5625)","(0.835693359375, -0.54913330078125, 0.00457763671875, 0.00372314453125)"
88.2,"(-0.09, -8.98, 3.91)","(6.5, 22.0, -20.0)","(-0.001090830782496456, 0.001090830782496456, 0.001090830782496456)","(0.01, -0.02, 0.04)","(-0.11, -9.0, 3.89)","(359.4375, -0.625, 66.5625)","(0.835693359375, -0.54913330078125, 0.00457763671875, 0.00372314453125)"
89.2,"(-0.12, -8.98, 3.88)","(6.5, 22.6875, -21.5625)","(0.0, 0.001090830782496456, -0.001090830782496456)","(0.0, 0.02, 0.03)","(-0.11, -9.0, 3.89)","(359.4375, -0.625, 66.5625)","(0.835693359375, -0.54913330078125, 0.00457763671875, 0.00372314453125)"
90.19,"(-0.13, -8.94, 3.9)","(6.875, 23.0625, -21.0625)","(0.001090830782496456, 0.00545415391248228, 0.0)","(-0.01, 0.04, 0.02)","(-0.11, -9.0, 3.89)","(359.4375, -0.625, 66.5625)","(0.835693359375, -0.54913330078125, 0.00457763671875, 0.00372314453125)"
91.2,"(-0.08, -9.040000000000001, 3.91)","(6.875, 22.25, -21.5625)","(-0.004363323129985824, 0.002181661564992912, -0.004363323129985824)","(-0.01, 0.02, 0.03)","(-0.11, -9.0, 3.89)","(359.4375, -0.625, 66.5625)","(0.835693359375, -0.54913330078125, 0.00457763671875, 0.00372314453125)"
92.2,"(-0.12, -9.0, 3.91)","(7.5625, 22.25, -21.1875)","(-0.003272492347489368, -0.001090830782496456, -0.001090830782496456)","(-0.03, 0.05, 0.06)","(-0.11, -9.0, 3.89)","(359.4375, -0.625, 66.5625)","(0.835693359375, -0.54913330078125, 0.00457763671875, 0.00372314453125)"
93.2,"(-0.18, -8.89, 3.97)","(7.25, 22.0, -20.375)","(0.05235987755982989, -0.03599741582238305, -0.09053895494720585)","(-0.25, 2.9, -0.74)","(-0.13, -8.98, 3.91)","(359.5, -0.625, 66.5625)","(0.8360595703125, -0.54864501953125, 0.00439453125, 0.00347900390625)"
94.15,"(-0.05, -7.74, 3.97)","(6.875, -2025.3125, 2018.4375)","(0.001090830782496456, 0.004363323129985824, 0.002181661564992912)","(0.0, 0.04, 0.03)","(-0.1, -8.98, 3.91)","(359.5, -0.5625, 66.4375)","(0.83648681640625, -0.5479736328125, 0.00421142578125, 0.00347900390625)"
95.15,"(-0.06, -9.1, 4.05)","(7.25, 22.25, -21.25)","(0.013089969389957472, 0.003272492347489368, 0.007635815477475192)","(1.28, 0.09, 0.01)","(-0.11, -7.7, 3.92)","(-1680.5, -8.625, 66.375)","(0.8367919921875, -0.5552978515625, 0.00433349609375, 0.00360107421875)"
96.19,"(-0.14, -9.02, 3.91)","(7.5625, -2025.3125, -20.0625)","(-0.002181661564992912, 0.001090830782496456, -0.001090830782496456)","(0.14, -0.02, 0.0)","(-0.1, -8.98, 3.92)","(359.5, -0.5625, 66.3125)","(0.8369140625, -0.5472412109375, 0.004150390625, 0.00360107421875)"
97.2,"(-0.23, -8.950000000000001, 4.09)","(7.25, 21.1875, -20.5)","(-0.003272492347489368, 0.007635815477475192, 0.002181661564992912)","(-0.13, 0.02, -0.03)","(-0.11, -8.96, 3.97)","(359.5625, -0.625, 66.0625)","(0.838134765625, -0.54541015625, 0.0052490234375, 0.0030517578125)"
98.2,"(-0.06, -8.92, 4.01)","(6.5, 22.5625, -20.0625)","(0.002181661564992912, 0.004363323129985824, -0.002181661564992912)","(-0.07, 0.03, 0.03)","(-0.12, -8.96, 3.97)","(359.5625, -0.6875, 66.0625)","(0.8382568359375, -0.5452880859375, 0.00537109375, 0.0030517578125)"
99.2,"(-0.15, -8.91, 3.99)","(6.875, 21.875, -21.1875)","(-0.001090830782496456, -0.001090830782496456, -0.002181661564992912)","(0.0, 0.0, -0.01)","(-0.12, -8.96, 3.97)","(359.5625, -0.6875, 66.0625)","(0.8382568359375, -0.5452880859375, 0.00537109375, 0.0030517578125)"
100.2,"(-0.14, -8.94, 4.0)","(7.25, 22.1875, -21.25)","(0.001090830782496456, 0.001090830782496456, -0.001090830782496456)","(0.0, 0.03, 0.0)","(-0.12, -8.96, 3.97)","(359.5625, -0.6875, 66.0625)","(0.8382568359375, -0.5452880859375, 0.00537109375, 0.0030517578125)"
101.2,"(-0.06, -9.01, 3.98)","(7.5625, 22.5625, -21.6875)","(-0.002181661564992912, 0.0, -0.002181661564992912)","(0.0, -0.02, 0.01)","(-0.12, -8.96, 3.97)","(359.5625, -0.6875, 66.0625)","(0.8382568359375, -0.5452880859375, 0.00537109375, 0.0030517578125)"
102.2,"(-0.11, -8.94, 4.01)","(7.5625, 22.5625, -20.5)","(0.001090830782496456, 0.003272492347489368, 0.0)","(-0.01, 0.01, 0.0)","(-0.12, -8.96, 3.97)","(359.5625, -0.6875, 66.0625)","(0.8382568359375, -0.5452880859375, 0.00537109375, 0.0030517578125)"
103.2,"(-0.14, 318.75, 4.0)","(6.875, 21.875, -20.0625)","(0.0, 0.001090830782496456, 0.001090830782496456)","(0.13, 0.07, -0.17)","(-0.12, -8.96, 3.97)","(359.5625, -0.6875, 66.0625)","(0.83837890625, -0.54510498046875, 0.00537109375, 0.0030517578125)"
104.2,"(-0.15, -8.89, 3.98)","(7.25, 21.875, -20.0625)","(-0.00545415391248228, 0.004363323129985824, -0.001090830782496456)","(-0.01, 0.02, -0.01)","(-0.12, -8.96, 3.97)","(359.5625, -0.6875, 66.0625)","(0.83831787109375, -0.54510498046875, 0.00537109375, 0.0030517578125)"
105.2,"(0.11, -10.14, 0.48)","(6.5625, 37.5, -16.25)","(-1.5609788497524284, 0.01090830782496456, -0.05672320068981571)","(-0.03, -0.9400000000000001, -0.31)","(0.08, -9.76, -0.9400000000000001)","(0.875, 0.5, 96.6875)","(0.66021728515625, -0.75103759765625, -0.00152587890625, -0.005615234375)"
106.2,"(0.21, -9.74, -1.27)","(7.1875, 44.5625, -12.875)","(-0.06981317007977318, -0.001090830782496456, -0.004363323129985824)","(0.03, 0.0, 0.01)","(0.11, -9.69, -1.44)","(1.125, 0.625, 98.5)","(0.65228271484375, -0.7579345703125, -0.0010986328125, -0.00665283203125)"
107.15,"(0.33, -9.1, -1.79)","(4.875, 34.5625, 2035.0)","(0.0272707695624114, -0.004363323129985824, 0.007635815477475192)","(-0.23, 0.15, 0.2)","(1.3900000000000001, -9.69, -0.2)","(1.1875, 0.625, 98.6875)","(0.6513671875, -0.75872802734375, -0.00103759765625, -0.00689697265625)"
108.15,"(0.07, -10.01, -0.1)","(14.75, 31.5, -14.6875)","(0.7461282552275759, 0.004363323129985824, 0.031634092692397225)","(0.06, -0.17, -0.04)","(0.02, -9.77, 0.75)","(0.5, 0.0625, 84.4375)","(-1.25299072265625, -0.664794921875, 0.00244140625, -0.0029296875)"
109.2,"(-0.01, -8.83, 4.12)","(8.6875, 26.5, -37.5)","(0.003272492347489368, 0.0, -0.003272492347489368)","(-0.05, -0.06, 0.09)","(-0.12, -8.93, 4.04)","(359.625, -0.6875, 65.5625)","(0.8404541015625, -0.54180908203125, 0.0059814453125, 0.002685546875)"
110.2,"(-0.36, -9.07, 4.0)","(8.6875, 26.5, -36.6875)","(0.3272492347489368, 0.08617563181722002, -0.026179938779914945)","(1.07, -0.06, 0.26)","(-0.14, -8.81, 4.29)","(359.75, -0.8125, 63.9375)","(0.84796142578125, 1.469970703125, 0.00787353515625, 0.00177001953125)"
111.21,"(-0.2, -8.83, 4.33)","(7.1875, 26.25, -37.875)","(-0.001090830782496456, -0.001090830782496456, 0.001090830782496456)","(0.05, 0.07, 0.05)","(-0.15, -8.78, 4.36)","(359.75, -0.875, 63.5625)","(0.8499755859375, -0.5267333984375, 0.008056640625, 0.00164794921875)"
112.2,"(-0.16, -8.8, 4.28)","(8.0, 26.0, -38.25)","(0.015271630954950384, -0.00545415391248228, 0.0)","(-0.01, -0.03, -0.18)","(-0.15, -8.75, 4.4)","(359.75, -0.875, 63.25)","(0.8511962890625, -0.5247802734375, 0.008056640625, 0.001708984375)"
113.2,"(-0.13, -8.68, 4.41)","(7.5625, 25.6875, -38.25)","(-0.002181661564992912, -0.009817477042468103, 0.14508049407202864)","(0.05, 0.11, 0.02)","(-0.15, -8.76, 4.4)","(359.75, -0.875, 63.3125)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
114.2,"(-0.15, -8.72, 4.41)","(9.0625, 25.25, -39.75)","(-0.001090830782496456, 0.0, -0.003272492347489368)","(-0.01, 0.03, 0.0)","(-0.15, -8.76, 4.4)","(359.75, -0.875, 63.3125)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
115.2,"(-0.14, -8.68, 4.45)","(8.25, 25.25, -38.25)","(0.0, 0.0, -0.001090830782496456)","(-0.01, 0.07, 0.05)","(-0.15, -8.76, 4.4)","(359.75, -0.875, 63.3125)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
116.2,"(-0.15, -8.73, 4.36)","(8.0, 24.875, -38.5625)","(0.004363323129985824, -0.001090830782496456, -0.001090830782496456)","(-0.03, 0.1, 0.08)","(-0.15, -8.76, 4.4)","(359.75, -0.875, 63.3125)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
117.2,"(-0.19, -8.700000000000001, 4.47)","(8.6875, 26.375, -39.0)","(-0.003272492347489368, -0.001090830782496456, -0.002181661564992912)","(0.01, 0.08, 0.04)","(-0.15, -8.76, 4.4)","(359.75, -0.875, 63.3125)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
118.2,"(-0.18, -8.700000000000001, 4.43)","(8.0, 25.25, -38.5625)","(0.0, -0.002181661564992912, 0.0)","(0.01, 0.04, 0.05)","(-0.15, -8.76, 4.4)","(359.75, -0.875, 63.3125)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
119.16,"(-0.15, -8.67, 4.46)","(8.6875, 26.0, -39.375)","(0.0, 0.002181661564992912, -0.001090830782496456)","(1.28, 0.04, 0.04)","(-0.15, -8.76, 4.4)","(359.75, -0.875, -1984.6875)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
120.15,"(-0.14, -8.72, 4.48)","(8.0, 26.0, -39.375)","(0.003272492347489368, 0.001090830782496456, 0.001090830782496456)","(0.01, 0.04, 0.05)","(-0.15, 318.92, 4.4)","(359.75, -8.875, -1984.6875)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
121.15,"(-0.16, -8.72, 4.47)","(8.25, 25.25, -38.25)","(0.002181661564992912, 0.001090830782496456, 0.001090830782496456)","(0.0, 0.05, 0.05)","(-0.15, 318.92, 4.4)","(359.75, -0.875, -1984.6875)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
122.2,"(-0.16, -8.700000000000001, 4.47)","(7.5625, 26.0, -39.0625)","(0.0, -0.003272492347489368, 0.001090830782496456)","(1.28, 0.04, 0.03)","(-0.15, -8.76, 4.4)","(359.75, -0.875, 63.3125)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
123.2,"(-0.15, -8.73, 4.42)","(8.25, 26.0, -39.0625)","(-0.006544984694978736, -0.002181661564992912, -0.002181661564992912)","(-0.01, 0.1, 0.06)","(-0.15, -8.76, 4.4)","(359.75, -0.875, 63.3125)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
124.2,"(-0.13, -8.73, 4.45)","(9.0625, 25.6875, 2009.4375)","(-0.002181661564992912, -0.003272492347489368, 0.0)","(0.02, 0.03, 0.03)","(-0.15, -8.76, 4.4)","(359.75, -0.875, 63.3125)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
125.2,"(-0.15, -8.72, 4.43)","(8.0, 25.25, -39.375)","(-0.001090830782496456, 0.001090830782496456, -0.002181661564992912)","(0.0, 0.08, 0.03)","(-0.15, -8.76, 4.4)","(359.75, -0.875, 63.3125)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
126.2,"(-0.17, -8.72, 4.43)","(8.25, 26.0, -37.5)","(0.001090830782496456, 0.002181661564992912, 0.0)","(0.0, 0.04, 0.02)","(-0.15, -8.76, 4.4)","(359.75, -0.875, 63.3125)","(0.85113525390625, -0.52490234375, 0.0081787109375, 0.00177001953125)"
127.2,"(-0.28, -8.61, 4.48)","(8.6875, 25.25, -38.5625)","(0.07090400086226964, -0.004363323129985824, -0.006544984694978736)","(-0.18, -0.27, -0.36)","(-0.15, -8.76, 4.4)","(359.75, -0.875, 63.25)","(-1.148681640625, -0.52459716796875, 0.00823974609375, 0.0018310546875)"
128.2,"(-0.15, -8.63, 4.48)","(9.0625, 25.6875, -39.0)","(-0.003272492347489368, 0.003272492347489368, 0.0)","(-0.01, 0.03, 0.2)","(-0.15, -8.73, 4.45)","(359.75, -0.875, 63.0)","(0.85260009765625, -0.5224609375, 0.00823974609375, 0.001708984375)"
129.19,"(-0.25, -8.78, 4.49)","(9.0625, 25.6875, -39.0)","(-0.00545415391248228, 0.00545415391248228, 0.001090830782496456)","(0.06, 0.16, -0.06)","(-0.15, -8.73, 4.45)","(359.75, -0.875, 62.9375)","(0.85272216796875, -0.5223388671875, 0.00823974609375, 0.00164794921875)"
130.2,"(-0.19, -8.69, 4.5600000000000005)","(8.25, 24.875, -39.0)","(0.1407171709420428, 0.0, -0.002181661564992912)","(0.03, 0.01, -0.09)","(-0.15, -8.73, 4.45)","(359.75, -0.875, 62.9375)","(0.85272216796875, -0.5223388671875, 0.00823974609375, 0.00164794921875)"
131.2,"(-0.23, -8.81, 4.45)","(9.0625, 26.0, -38.1875)","(0.014180800172453928, -0.001090830782496456, 0.0)","(0.14, 0.15, -0.07)","(-0.15, 318.91, 4.37)","(359.75, -0.875, 63.4375)","(0.8509521484375, -0.52520751953125, 0.00823974609375, 0.001708984375)"
132.16,"(-0.24, -8.73, 4.47)","(8.6875, 24.5625, -38.1875)","(0.14508049407202864, -0.001090830782496456, -0.001090830782496456)","(0.02, 0.02, -0.12)","(-0.15, -8.69, 4.53)","(359.75, -0.875, 62.4375)","(0.85516357421875, -0.518310546875, 0.00823974609375, 0.00164794921875)"
133.16,"(-0.17, -8.790000000000001, 4.58)","(8.6875, 25.25, -46.1875)","(-0.002181661564992912, 0.001090830782496456, 0.003272492347489368)","(-0.14, 0.01, 0.04)","(-0.15, -8.71, 4.48)","(359.75, -0.875, 62.8125)","(0.85284423828125, 1.4779052734375, 0.00823974609375, 0.00164794921875)"
134.15,"(-0.26, -8.75, 4.49)","(9.5, 25.25, 2008.75)","(0.14508049407202864, 0.001090830782496456, 0.0)","(-0.15, 0.0, -0.02)","(-0.15, -8.700000000000001, 4.5200000000000005)","(359.75, -0.875, -1985.5)","(0.854736328125, -0.51898193359375, 0.00823974609375, 0.00164794921875)"
135.2,"(-0.26, -8.59, 4.84)","(9.0625, 25.25, -37.375)","(0.0, 0.0, 0.002181661564992912)","(0.03, 0.18, -0.28)","(-0.15, -8.69, 4.53)","(359.75, -0.875, 62.4375)","(0.85516357421875, -0.51824951171875, 0.00823974609375, 0.00164794921875)"
136.2,"(-0.07, -8.63, 4.2700000000000005)","(8.1875, 16.875, -38.5625)","(-0.001090830782496456, 0.001090830782496456, 0.003272492347489368)","(-0.01, 0.15, -0.13)","(-0.15, -8.67, 4.57)","(359.875, -0.875, 62.125)","(0.85650634765625, -0.5159912109375, 0.00872802734375, 0.0008544921875)"
137.2,"(-0.18, -8.6, 4.59)","(9.6875, 25.25, -40.875)","(0.008726646259971648, -0.003272492347489368, 0.0)","(-0.01, 0.04, -0.03)","(-0.15, -8.66, 4.58)","(359.8125, -0.875, 62.0625)","(0.856689453125, -0.5157470703125, 0.0087890625, 0.00091552734375)"
138.2,"(-0.16, -8.57, 4.6000000000000005)","(8.1875, 24.875, -39.0)","(-0.002181661564992912, 0.004363323129985824, -0.004363323129985824)","(0.0, 0.04, 0.0)","(-0.15, -8.66, 4.58)","(359.8125, -0.875, 62.0625)","(0.856689453125, -0.5157470703125, 0.0087890625, 0.00091552734375)"
139.2,"(-0.23, -8.49, 4.82)","(8.5625, 24.5625, -39.25)","(0.0, 0.001090830782496456, 0.0)","(0.0, 0.06, -0.01)","(-0.15, -8.63, 4.64)","(359.8125, -0.875, 61.6875)","(0.8582763671875, -0.51312255859375, 0.00885009765625, 0.0009765625)"
140.2,"(-0.14, -8.61, 4.5600000000000005)","(9.375, 24.5625, -39.0)","(0.016362461737446838, 0.004363323129985824, 0.0)","(-0.01, 0.06, 0.02)","(-0.15, -8.66, 4.59)","(359.8125, -0.875, 62.0625)","(0.8568115234375, -0.51556396484375, 0.00885009765625, 0.0009765625)"
141.2,"(-0.22, -8.58, 4.62)","(8.5625, 24.5625, -39.0)","(0.013089969389957472, -0.001090830782496456, 0.0)","(-0.01, 0.06, -0.01)","(-0.15, -8.65, 4.61)","(359.8125, -0.875, 61.875)","(0.85772705078125, -0.5140380859375, 0.00885009765625, 0.0009765625)"
142.19,"(-0.15, -8.59, 4.66)","(9.0, 24.1875, -39.25)","(-0.002181661564992912, -0.003272492347489368, -0.002181661564992912)","(-0.03, 0.13, -0.02)","(-0.15, -8.64, 4.62)","(367.8125, -0.875, 61.8125)","(0.85772705078125, -0.5140380859375, 0.00885009765625, 0.0009765625)"
143.2,"(-0.17, -8.55, 4.63)","(9.0, 24.875, -39.25)","(-0.001090830782496456, 0.0, 0.003272492347489368)","(-0.02, 0.08, -0.02)","(-0.15, -8.64, 4.62)","(359.8125, -0.875, 61.8125)","(0.85772705078125, -0.5140380859375, 0.00885009765625, 0.0009765625)"
144.2,"(-0.17, -8.59, 4.62)","(-2040.5, 24.875, -39.6875)","(0.0, -0.001090830782496456, 0.0)","(-0.01, 0.07, 0.04)","(-0.15, -8.64, 4.62)","(359.8125, -0.875, 61.8125)","(0.85772705078125, -0.5140380859375, 0.00885009765625, 0.0009765625)"
145.15,"(-0.19, 319.1, 4.61)","(8.1875, 17.25, -39.25)","(-0.008726646259971648, -0.002181661564992912, -0.001090830782496456)","(-0.07, 0.03, 0.04)","(-0.15, -8.64, 4.62)","(359.8125, -0.875, 61.8125)","(0.85772705078125, 1.4859619140625, 0.00885009765625, 0.0009765625)"
146.15,"(-0.11, 319.09000000000003, 4.63)","(8.1875, 25.6875, -47.25)","(-0.025089107997418487, -0.002181661564992912, -0.00545415391248228)","(0.0, -0.02, 0.0)","(-0.15, -8.66, 4.59)","(359.8125, -0.875, 62.0)","(0.85693359375, 1.48468017578125, 0.00885009765625, 0.0009765625)"
147.15,"(-0.15, 319.09000000000003, 4.63)","(9.375, 17.25, -40.0625)","(-0.001090830782496456, 0.0, 0.0)","(0.0, 0.03, 0.04)","(-0.15, -8.65, 4.6000000000000005)","(359.8125, -0.875, 61.9375)","(0.857177734375, -0.514892578125, 0.00885009765625, 0.00103759765625)"
148.2,"(-0.18, -8.59, 4.64)","(9.6875, 24.1875, -39.6875)","(-0.002181661564992912, -0.001090830782496456, 0.003272492347489368)","(-0.01, 0.08, 0.05)","(-0.15, -8.65, 4.6000000000000005)","(359.8125, -0.875, 61.9375)","(0.857177734375, -0.514892578125, 0.00885009765625, 0.00103759765625)"
149.2,"(-0.13, -8.58, 4.61)","(8.5625, 24.875, -38.5)","(0.003272492347489368, -0.001090830782496456, 0.002181661564992912)","(0.01, 0.05, 0.01)","(-0.15, -8.65, 4.6000000000000005)","(359.8125, -0.875, 61.9375)","(0.857177734375, -0.514892578125, 0.00885009765625, 0.00103759765625)"
150.19,"(-0.14, -8.57, 4.61)","(8.1875, 24.875, -39.6875)","(0.14508049407202864, -0.001090830782496456, -0.003272492347489368)","(-0.02, 0.08, 0.03)","(-0.15, -8.65, 4.6000000000000005)","(-1688.1875, -0.875, 61.9375)","(0.857177734375, -0.514892578125, 0.00885009765625, 0.00103759765625)"
151.2,"(-0.15, -8.56, 4.66)","(7.875, 24.1875, -37.75)","(0.0, 0.001090830782496456, 0.002181661564992912)","(-0.01, 0.04, 0.02)","(-0.15, -8.64, 4.62)","(359.8125, -0.875, 61.8125)","(0.8577880859375, -0.51397705078125, 0.00885009765625, 0.00103759765625)"
152.21,"(-0.14, -8.59, 4.65)","(9.375, 24.5625, -39.0)","(0.004363323129985824, -0.002181661564992912, -0.001090830782496456)","(0.0, 0.05, 0.02)","(-0.15, -8.64, 4.62)","(359.8125, -0.875, 61.8125)","(0.8577880859375, -0.51397705078125, 0.00885009765625, 0.00103759765625)"
153.2,"(-0.15, -8.52, 4.63)","(9.0, 24.5625, -39.25)","(0.001090830782496456, 0.002181661564992912, 0.001090830782496456)","(0.0, 0.05, 0.02)","(-0.15, -8.64, 4.62)","(359.8125, -0.875, 61.8125)","(0.8577880859375, -0.51397705078125, 0.00885009765625, 0.00103759765625)"
154.2,"(-0.18, -8.540000000000001, 4.64)","(9.0, 24.1875, -39.0)","(0.001090830782496456, 0.0, 0.0)","(-0.03, 0.09, 0.03)","(-0.15, -8.64, 4.62)","(359.8125, -0.875, 61.8125)","(0.8577880859375, -0.51397705078125, 0.00885009765625, 0.00103759765625)"
155.2,"(-0.21, -8.58, 4.63)","(8.5625, 24.5625, -39.0)","(0.002181661564992912, -0.003272492347489368, 0.0)","(-0.03, 0.07, 0.06)","(-0.16, -8.64, 4.62)","(359.875, -0.9375, 61.8125)","(0.85784912109375, -0.51385498046875, 0.00897216796875, 0.00091552734375)"
156.2,"(-0.18, -8.56, 4.67)","(9.0, 24.5625, -39.25)","(0.0, 0.002181661564992912, 0.002181661564992912)","(0.01, 0.09, 0.01)","(-0.16, -8.64, 4.62)","(359.875, -0.9375, 61.8125)","(0.85784912109375, -0.51385498046875, 0.00897216796875, 0.00091552734375)"
157.2,"(-0.2, -8.55, 4.67)","(7.875, 24.5625, -39.25)","(-0.003272492347489368, -0.001090830782496456, -0.003272492347489368)","(0.01, 0.04, -0.04)","(-0.16, -8.64, 4.62)","(359.875, -0.9375, 61.8125)","(0.85784912109375, -0.5137939453125, 0.00897216796875, 0.00091552734375)"
158.15,"(-0.14, -8.59, 4.67)","(8.5625, 16.5625, -40.0625)","(0.001090830782496456, -0.001090830782496456, -0.002181661564992912)","(0.0, 0.05, 0.05)","(-0.16, -8.64, 4.62)","(367.875, -0.9375, 61.8125)","(0.85791015625, -0.513671875, 0.00897216796875, 0.00091552734375)"
159.15,"(-0.18, -8.540000000000001, 4.65)","(8.1875, 25.25, -39.0)","(0.001090830782496456, 0.001090830782496456, 0.0)","(-0.01, 0.09, 0.03)","(-0.16, -8.64, 4.62)","(367.875, -0.9375, 61.8125)","(0.85791015625, -0.513671875, 0.00897216796875, 0.00091552734375)"
160.19,"(-0.19, -8.540000000000001, 4.64)","(9.6875, 24.5625, -39.25)","(-0.001090830782496456, -0.003272492347489368, 0.001090830782496456)","(-0.02, 0.09, 0.0)","(-0.16, -8.64, 4.62)","(359.875, -0.9375, 61.8125)","(0.85791015625, -0.513671875, 0.00897216796875, 0.00091552734375)"
161.2,"(-0.19, -8.55, 4.64)","(8.1875, 23.75, -37.75)","(0.0, 0.0, 0.0)","(0.01, 0.04, 0.02)","(-0.16, -8.64, 4.62)","(359.875, -0.9375, 61.8125)","(0.85791015625, -0.513671875, 0.00897216796875, 0.00091552734375)"
162.2,"(-0.15, -8.6, 4.66)","(8.1875, 24.875, -40.5)","(0.002181661564992912, -0.001090830782496456, 0.0)","(0.0, 0.01, 0.04)","(-0.16, -8.64, 4.62)","(359.875, -0.9375, 61.8125)","(0.85791015625, -0.513671875, 0.00897216796875, 0.00091552734375)"
163.2,"(-0.17, -8.540000000000001, 4.64)","(8.5625, 24.1875, -39.6875)","(0.004363323129985824, -0.001090830782496456, 0.0)","(0.0, 0.06, 0.02)","(-0.16, -8.64, 4.62)","(359.875, -0.9375, 61.8125)","(0.85791015625, -0.513671875, 0.00897216796875, 0.00091552734375)"
164.2,"(-0.16, -8.6, 4.64)","(9.0, 24.1875, -39.6875)","(-0.004363323129985824, 0.0, 0.0)","(-0.01, 0.05, 0.05)","(-0.16, -8.64, 4.62)","(359.875, -0.9375, 61.8125)","(0.85791015625, -0.513671875, 0.00897216796875, 0.00091552734375)"
165.2,"(-0.16, -8.59, 4.65)","(8.5625, 24.875, -39.25)","(0.0, -0.001090830782496456, -0.001090830782496456)","(0.0, 0.05, 0.04)","(-0.16, -8.64, 4.62)","(359.875, -0.9375, 61.8125)","(0.85791015625, -0.513671875, 0.00897216796875, 0.00091552734375)"
166.2,"(-0.47000000000000003, -7.78, 5.11)","(11.1875, 34.5, -34.25)","(-0.05345070834232634, 0.002181661564992912, -0.014180800172453928)","(0.23, 0.42, 0.1)","(-0.16, -8.63, 4.65)","(359.8125, -0.9375, 61.6875)","(0.8583984375, -0.51287841796875, 0.00946044921875, 0.00103759765625)"
167.2,"(-0.14, -8.64, 4.26)","(7.6875, 20.75, -21.375)","(-0.0272707695624114, -0.002181661564992912, 0.002181661564992912)","(0.03, 0.06, -0.19)","(-0.16, -8.620000000000001, 4.66)","(359.8125, -0.9375, 61.625)","(0.85888671875, -0.51214599609375, 0.00933837890625, 0.001220703125)"
168.2,"(-0.2, -8.53, 4.83)","(7.25, 20.375, -20.6875)","(0.007635815477475192, 0.0, 0.001090830782496456)","(-0.06, 0.06, 0.06)","(-0.16, -8.620000000000001, 4.67)","(359.8125, -0.9375, 61.5)","(0.859130859375, -0.51171875, 0.00933837890625, 0.001220703125)"
169.2,"(-0.37, -8.56, 4.61)","(6.5625, 21.5, -20.25)","(-0.02399827721492203, -0.020725784867432664, -0.002181661564992912)","(-0.62, 0.49, 0.04)","(-0.18, -8.61, 4.67)","(359.75, -1.0, 61.5)","(0.859375, -0.51129150390625, 0.00994873046875, 0.00152587890625)"
170.2,"(-0.17, -8.58, 4.67)","(7.6875, 20.75, -20.6875)","(0.008726646259971648, -0.001090830782496456, -0.002181661564992912)","(0.01, 0.05, 0.01)","(-0.17, -8.61, 4.67)","(359.8125, -1.0, 61.5)","(0.85931396484375, -0.51129150390625, 0.009765625, 0.00128173828125)"
171.16,"(-0.17, -8.56, 4.63)","(8.375, 21.5, -22.5625)","(-0.001090830782496456, 0.001090830782496456, -0.001090830782496456)","(0.01, 0.02, 0.01)","(-0.17, -8.61, 4.67)","(359.8125, -1.0, 61.5)","(0.859375, -0.51129150390625, 0.009765625, 0.00128173828125)"
172.15,"(-0.18, -8.59, -322.97)","(-2040.75, 21.5, -22.1875)","(0.14508049407202864, -0.1407171709420428, 0.002181661564992912)","(1.3, 0.01, 0.01)","(-0.17, -8.61, 4.67)","(359.8125, -1.0, 61.5)","(0.859375, -0.51129150390625, 0.009765625, 0.00128173828125)"
173.2,"(-0.16, -8.59, 4.69)","(7.25, 21.1875, -21.0)","(0.001090830782496456, -0.002181661564992912, 0.002181661564992912)","(0.01, 0.03, 0.01)","(-0.17, -8.61, 4.67)","(359.8125, -1.0, 61.5)","(0.859375, -0.51129150390625, 0.009765625, 0.00128173828125)"
174.2,"(-0.15, -8.59, 4.67)","(8.375, 20.75, -21.375)","(0.0, 0.002181661564992912, 0.002181661564992912)","(0.0, 0.05, 0.0)","(-0.17, -8.61, 4.67)","(359.8125, -1.0, 61.5)","(0.859375, -0.51129150390625, 0.009765625, 0.00128173828125)"
