time,acc,magentic,angularVelocity,linAcc,gravAcc,euler,quaternion
35.2,"(-0.09, -9.16, 0.28)","(5.5625, 31.75, -9.6875)","(0.018544123302439753, -0.001090830782496456, -0.008726646259971648)","(-0.01, 0.37, 0.19)","(0.06, -9.8, 0.22)","(0.0, 0.375, 88.625)","(0.7152099609375, -0.69891357421875, -0.0042724609375, -0.000244140625)"
36.15,"(0.07, -9.870000000000001, 0.23)","(5.5625, 31.0, -10.5)","(-0.006544984694978736, 0.0, -0.003272492347489368)","(0.0, -0.05, 0.0)","(0.06, -9.8, 0.22)","(0.0, 0.3125, 80.625)","(0.71527099609375, -0.69879150390625, 1.99578857421875, -0.0001220703125)"
37.15,"(0.06, 317.8, 1.45)","(6.0, 31.375, -10.5)","(0.001090830782496456, -0.002181661564992912, -0.003272492347489368)","(0.0, -0.05, -0.02)","(0.05, -9.8, 0.23)","(0.0, 0.3125, 80.625)","(0.71551513671875, -0.6986083984375, 1.99603271484375, -0.000244140625)"
38.19,"(1.36, -9.26, 0.05)","(6.25, 31.375, -11.6875)","(-0.007635815477475192, 0.009817477042468103, 0.022907446432425576)","(-0.01, 0.38, 0.2)","(0.06, -9.8, 0.23)","(0.0, 0.3125, 88.625)","(0.7154541015625, -0.69866943359375, -0.0037841796875, -0.0001220703125)"
39.2,"(0.0, -9.74, 0.25)","(5.5625, 32.1875, -12.0625)","(0.006544984694978736, 0.004363323129985824, 0.004363323129985824)","(0.02, -0.12, 0.0)","(0.06, -9.8, 0.23)","(0.0625, 0.3125, 88.625)","(0.7154541015625, -0.6986083984375, -0.0040283203125, -0.00042724609375)"
40.2,"(0.08, -9.88, 0.22)","(5.5625, 31.75, -11.1875)","(-0.002181661564992912, 0.001090830782496456, -0.001090830782496456)","(0.0, -0.07, 0.0)","(0.06, -9.8, 0.23)","(0.0625, 0.3125, 88.625)","(0.7154541015625, -0.6986083984375, -0.0040283203125, -0.00042724609375)"
41.2,"(0.05, -9.84, 0.21)","(6.6875, 31.375, -11.6875)","(0.001090830782496456, 0.002181661564992912, 0.001090830782496456)","(-0.01, -0.01, 0.02)","(0.06, -9.8, 0.23)","(0.0625, 0.3125, 88.625)","(0.7154541015625, -0.6986083984375, -0.0040283203125, -0.00042724609375)"
42.2,"(0.06, -9.83, 0.22)","(5.5625, 32.1875, -10.5)","(0.001090830782496456, -0.001090830782496456, 0.002181661564992912)","(0.0, -0.05, 0.01)","(0.06, -9.8, 0.23)","(0.0625, 0.3125, 88.625)","(0.7154541015625, -0.6986083984375, -0.0040283203125, -0.00042724609375)"
43.2,"(0.05, -9.81, 0.22)","(6.25, 32.1875, -10.875)","(0.001090830782496456, 0.0, 0.001090830782496456)","(0.0, -0.05, 0.02)","(0.06, -9.8, 0.23)","(0.0625, 0.3125, 88.625)","(0.7154541015625, -0.6986083984375, -0.0040283203125, -0.00042724609375)"
44.2,"(0.05, -9.83, 0.21)","(6.0, 32.1875, -10.875)","(0.001090830782496456, 0.001090830782496456, 0.0)","(0.01, -0.04, 0.0)","(0.06, -9.8, 0.23)","(0.0625, 0.3125, 88.625)","(0.7154541015625, -0.6986083984375, -0.0040283203125, -0.00042724609375)"
45.2,"(0.08, -9.91, 0.21)","(9.875, 52.6875, -18.5)","(0.1407171709420428, -0.001090830782496456, -0.001090830782496456)","(0.02, -0.07, 0.01)","(0.06, -9.8, 0.23)","(0.0625, 0.3125, 88.625)","(0.7154541015625, -0.6986083984375, -0.0040283203125, -0.00042724609375)"
46.19,"(0.05, -9.84, 0.21)","(10.5625, 51.5625, -17.6875)","(0.001090830782496456, 0.003272492347489368, 0.001090830782496456)","(-0.01, -0.04, 0.02)","(0.06, -9.8, 0.23)","(0.0625, 0.3125, 88.625)","(0.7154541015625, -0.6986083984375, -0.0040283203125, -0.00042724609375)"
47.2,"(0.04, -9.84, 0.22)","(9.5625, 53.375, -19.25)","(-0.002181661564992912, 0.002181661564992912, -0.001090830782496456)","(0.0, -0.04, 0.01)","(0.06, -9.8, 0.23)","(0.0625, 0.3125, 88.625)","(0.7154541015625, -0.6986083984375, -0.0040283203125, -0.00042724609375)"
48.2,"(1.02, -9.540000000000001, 0.09)","(10.5625, 52.6875, -18.5)","(0.022907446432425576, -0.002181661564992912, 0.01090830782496456)","(-0.12, 0.2, 0.01)","(0.06, -9.8, 0.23)","(0.0, 0.3125, 88.5625)","(0.71551513671875, -0.69854736328125, -0.00384521484375, -0.000244140625)"
49.15,"(0.13, -9.67, 0.27)","(6.25, 31.875, -10.1875)","(0.003272492347489368, 0.004363323129985824, -0.001090830782496456)","(0.09, 0.01, -0.17)","(1.33, 317.88, 0.24)","(8.0, 0.3125, 88.5625)","(0.7158203125, -0.69830322265625, -0.00390625, -0.00030517578125)"
50.15,"(0.11, -9.700000000000001, 1.81)","(6.375, 31.0625, -10.25)","(-0.014180800172453928, 0.001090830782496456, 0.0)","(-0.78, -0.77, 0.27)","(0.05, 317.88, 0.23)","(8.0, 0.3125, 80.5625)","(0.71575927734375, -0.6983642578125, -0.00390625, -0.00018310546875)"
51.2,"(0.04, -9.81, 0.02)","(6.75, 31.375, -10.25)","(0.00545415391248228, -0.001090830782496456, -0.00545415391248228)","(0.13, 0.46, -0.05)","(0.05, -9.8, 0.24)","(0.0, 0.3125, 88.5625)","(-1.28411865234375, -0.69818115234375, -0.0040283203125, -0.0003662109375)"
52.2,"(-0.07, -9.68, 0.02)","(6.375, 31.75, -9.875)","(-0.003272492347489368, -0.006544984694978736, -0.006544984694978736)","(-0.12, 0.26, -0.24)","(0.07, -9.8, 0.24)","(0.0625, 0.375, 88.5625)","(0.71575927734375, -0.69830322265625, -0.0042724609375, -0.000732421875)"
53.2,"(-0.04, -9.51, 0.03)","(6.375, 31.0625, -11.5625)","(-0.003272492347489368, -0.001090830782496456, 0.007635815477475192)","(0.0, 0.03, -0.26)","(0.07, -9.8, 0.24)","(0.125, 0.375, 88.5625)","(0.71588134765625, -0.6982421875, -0.00433349609375, -0.00079345703125)"
54.2,"(0.0, -9.78, 0.32)","(6.375, 31.75, -10.75)","(-0.001090830782496456, 0.002181661564992912, 0.0)","(0.02, -0.06, 0.05)","(1.34, -9.8, 0.24)","(0.0625, 0.375, 88.5)","(0.7159423828125, -0.69818115234375, -0.004150390625, -0.00067138671875)"
55.2,"(0.07, -9.86, 0.29)","(6.375, 31.0, -10.75)","(-0.003272492347489368, 0.001090830782496456, -0.001090830782496456)","(-0.01, -0.02, 0.0)","(0.06, -9.8, 0.24)","(0.0625, 0.375, 88.5)","(0.7159423828125, -0.69818115234375, -0.004150390625, -0.00067138671875)"
56.2,"(-0.1, -9.66, 0.06)","(6.375, 31.375, -10.75)","(-0.011999138607461015, 0.002181661564992912, 0.001090830782496456)","(0.05, -0.47000000000000003, 0.21)","(0.06, -9.8, 0.24)","(0.0, 0.3125, 88.5625)","(0.71588134765625, -0.69818115234375, -0.00408935546875, -0.0003662109375)"
57.2,"(0.08, -10.0, 0.03)","(5.375, 31.375, -11.5625)","(-0.007635815477475192, -0.003272492347489368, 0.003272492347489368)","(0.08, -0.04, -0.21)","(0.06, -9.8, 0.25)","(0.0, 0.3125, 88.5)","(0.71612548828125, -0.69793701171875, -0.0040283203125, -0.00030517578125)"
58.2,"(0.09, -9.950000000000001, 0.02)","(6.75, 31.375, -11.1875)","(-0.018544123302439753, 0.001090830782496456, -0.003272492347489368)","(0.02, -0.48, 0.08)","(0.06, -9.8, 0.25)","(0.0, 0.3125, 88.5)","(0.71612548828125, -0.69793701171875, -0.0040283203125, -0.0003662109375)"
59.2,"(-0.09, -9.700000000000001, 0.29)","(6.375, 31.75, -11.5625)","(0.014180800172453928, 0.003272492347489368, 0.007635815477475192)","(0.17, -0.26, -0.08)","(0.06, -9.8, 0.27)","(0.0, 0.3125, 88.3125)","(0.71685791015625, -0.69720458984375, -0.00433349609375, -0.00030517578125)"
60.2,"(0.06, -9.93, 0.28)","(6.75, 31.375, -10.0)","(-0.004363323129985824, -0.003272492347489368, -0.007635815477475192)","(0.01, -0.16, -0.01)","(0.07, -9.8, 0.27)","(0.0625, 0.375, 88.375)","(0.717041015625, -0.697021484375, -0.0045166015625, -0.00048828125)"
61.17,"(0.08, -9.92, 0.27)","(6.0625, 31.0625, -11.5625)","(-0.003272492347489368, 0.0, -0.002181661564992912)","(0.0, -0.11, -0.01)","(0.07, -9.8, 0.27)","(0.0625, 0.375, 88.375)","(-1.282958984375, -0.697021484375, -0.0045166015625, -0.00048828125)"
62.15,"(0.04, 317.86, 1.57)","(7.5625, -2016.25, -11.5625)","(0.0, 0.002181661564992912, 0.001090830782496456)","(0.0, -0.01, -0.02)","(0.07, -9.8, 0.27)","(0.0625, 0.375, 88.375)","(0.717041015625, -0.697021484375, -0.0045166015625, -0.00048828125)"
63.15,"(-0.51, 317.7, 1.46)","(7.5625, -2016.625, -10.6875)","(-0.002181661564992912, -0.001090830782496456, -0.011999138607461015)","(-0.37, 0.44, 0.02)","(0.06, -9.8, 0.3)","(0.0, 0.3125, 88.1875)","(0.71795654296875, -0.69610595703125, -0.0042724609375, -0.0001220703125)"
64.2,"(0.05, -9.93, 0.39)","(6.0625, 31.75, -11.0625)","(0.001090830782496456, -0.002181661564992912, 0.003272492347489368)","(-0.02, -0.06, -0.03)","(0.05, -9.8, 0.3)","(0.0, 0.3125, 88.1875)","(-1.28204345703125, -0.696044921875, -0.00421142578125, -6.103515625e-05)"
65.2,"(0.07, -9.89, 0.24)","(6.375, 31.75, -11.5)","(0.003272492347489368, 0.002181661564992912, 0.001090830782496456)","(-0.01, -0.05, 0.0)","(0.05, -9.8, 0.3)","(0.0, 0.3125, 88.1875)","(0.71795654296875, -0.696044921875, -0.00421142578125, -6.103515625e-05)"
66.2,"(0.04, -9.84, 0.29)","(5.6875, 31.375, -11.0625)","(0.0, -0.002181661564992912, -0.002181661564992912)","(-0.04, -0.05, -0.02)","(0.05, -9.8, 0.3)","(0.0, 0.3125, 88.1875)","(0.71795654296875, -0.696044921875, -0.00421142578125, -6.103515625e-05)"
67.2,"(0.14, -9.89, 0.34)","(6.75, 30.6875, -11.5)","(-0.003272492347489368, 0.0, -0.003272492347489368)","(0.04, -0.13, -0.03)","(0.05, -9.8, 0.3)","(0.0, 0.3125, 88.1875)","(0.718017578125, -0.69598388671875, -0.00421142578125, -6.103515625e-05)"
68.2,"(0.05, 317.8, 0.33)","(6.375, 32.1875, -10.6875)","(-0.002181661564992912, 0.002181661564992912, -0.002181661564992912)","(-0.01, -0.02, 0.01)","(0.05, -9.8, 0.3)","(0.0, 0.3125, 88.1875)","(0.718017578125, -0.696044921875, -0.00421142578125, -6.103515625e-05)"
69.2,"(0.04, -9.74, 0.3)","(6.0625, 31.0625, -11.875)","(-0.004363323129985824, 0.002181661564992912, -0.003272492347489368)","(-0.02, -0.09, -0.03)","(0.05, -9.8, 0.3)","(0.0, 0.3125, 88.1875)","(0.718017578125, -0.696044921875, -0.00421142578125, -6.103515625e-05)"
70.2,"(0.07, -9.88, 0.34)","(6.0625, 31.375, -11.0625)","(0.0, -0.002181661564992912, 0.0)","(-0.01, -0.06, 0.0)","(0.05, -9.8, 0.3)","(359.9375, 0.3125, 88.1875)","(0.71807861328125, -0.6959228515625, -0.00408935546875, 0.0001220703125)"
71.2,"(0.09, -10.09, 0.28)","(6.75, 31.375, -11.5)","(0.002181661564992912, -0.002181661564992912, 0.001090830782496456)","(0.05, -0.19, 0.02)","(0.05, -9.8, 0.3)","(359.9375, 0.25, 88.1875)","(0.71807861328125, -0.6959228515625, -0.00390625, 0.00030517578125)"
72.2,"(0.05, -9.84, 0.29)","(6.75, 31.75, -11.875)","(-0.002181661564992912, 0.003272492347489368, 0.0)","(0.0, -0.02, 0.0)","(0.05, -9.8, 0.3)","(359.9375, 0.25, 88.1875)","(0.71807861328125, -0.6959228515625, -0.00390625, 0.00030517578125)"
73.2,"(1.1400000000000001, -10.38, 0.38)","(6.0625, 31.75, -11.1875)","(0.02181661564992912, 0.004363323129985824, 0.009817477042468103)","(0.13, -0.08, 0.19)","(0.03, -9.790000000000001, 0.36)","(359.875, 0.1875, 87.8125)","(0.7200927734375, -0.69384765625, -0.0030517578125, 0.00054931640625)"
74.15,"(1.31, -9.83, 0.16)","(6.375, 31.0625, -12.0)","(-0.001090830782496456, 0.001090830782496456, 0.004363323129985824)","(0.03, -0.3, 0.08)","(0.03, -9.790000000000001, 0.37)","(359.9375, 0.1875, 87.8125)","(0.72821044921875, 1.29864501953125, -0.003173828125, 0.0003662109375)"
75.15,"(-0.11, -9.97, 0.62)","(15.1875, 31.0625, 2035.75)","(0.14944381720201447, 0.003272492347489368, -0.001090830782496456)","(1.35, -0.13, -0.29)","(1.31, -9.790000000000001, 0.38)","(-1680.0625, 0.1875, -1960.25)","(0.728515625, -0.6932373046875, -0.003173828125, 0.0003662109375)"
76.15,"(1.33, -9.43, 0.42)","(-2033.25, -2024.625, -12.0)","(-0.008726646259971648, 0.001090830782496456, -0.002181661564992912)","(-0.04, -0.31, 0.0)","(0.03, -9.790000000000001, 0.38)","(359.9375, 0.1875, 87.75)","(0.72076416015625, -0.69317626953125, -0.003173828125, 0.0003662109375)"
77.2,"(-0.04, -9.3, 0.47000000000000003)","(6.375, 31.0625, -11.1875)","(-0.031634092692397225, -0.001090830782496456, -0.014180800172453928)","(-0.03, 0.36, -0.04)","(0.03, -9.790000000000001, 0.39)","(367.875, 0.1875, 87.6875)","(0.72119140625, -0.6927490234375, -0.00299072265625, 0.00042724609375)"
78.2,"(0.0, -9.69, 0.43)","(6.75, 30.5625, -12.25)","(-0.004363323129985824, 0.002181661564992912, -0.001090830782496456)","(0.0, -0.02, 0.13)","(0.03, -9.790000000000001, 0.39)","(367.875, 0.1875, 87.625)","(0.72125244140625, -0.692626953125, -0.0030517578125, 0.00042724609375)"
79.2,"(0.06, -9.790000000000001, 0.3)","(6.0625, 31.6875, -11.1875)","(0.008726646259971648, 0.0, 0.004363323129985824)","(-0.02, -0.13, -0.05)","(0.03, -9.790000000000001, 0.39)","(359.875, 0.1875, 87.6875)","(0.72119140625, -0.6927490234375, -0.0030517578125, 0.00042724609375)"
80.2,"(0.03, -9.85, 0.39)","(6.0625, 30.5625, -12.25)","(0.001090830782496456, 0.001090830782496456, 0.0)","(0.0, -0.05, 0.0)","(0.03, -9.790000000000001, 0.39)","(359.875, 0.1875, 87.6875)","(0.72119140625, -0.6927490234375, -0.0030517578125, 0.00042724609375)"
81.2,"(-0.11, -9.86, 0.21)","(7.1875, 31.0, -11.5625)","(-0.001090830782496456, 0.001090830782496456, -0.003272492347489368)","(-0.01, -0.1, -0.06)","(0.04, -9.790000000000001, 0.39)","(359.9375, 0.1875, 87.625)","(0.72918701171875, -0.6925048828125, -0.00323486328125, 0.000244140625)"
82.2,"(-0.01, -9.78, 0.35000000000000003)","(6.75, 31.0, -11.1875)","(0.006544984694978736, -0.002181661564992912, -0.003272492347489368)","(0.0, -0.02, -0.01)","(0.04, -9.790000000000001, 0.39)","(359.9375, 0.1875, 87.625)","(0.72125244140625, -0.692626953125, -0.00323486328125, 0.000244140625)"
83.2,"(-0.03, -9.85, 0.34)","(5.6875, 31.25, -12.0)","(-0.003272492347489368, 0.0, 0.001090830782496456)","(0.04, 0.04, 0.12)","(0.03, -9.790000000000001, 0.42)","(359.9375, 0.1875, 87.5)","(0.72222900390625, -0.691650390625, -0.0028076171875, 0.00030517578125)"
84.2,"(-0.32, -10.1, 0.22)","(6.75, 32.0625, -12.75)","(-0.017453292519943295, -0.006544984694978736, -0.04254240051736178)","(-0.3, 0.15, -0.1)","(0.03, -9.790000000000001, 0.42)","(359.9375, 0.1875, 87.5)","(0.72216796875, -0.69171142578125, -0.00274658203125, 0.0003662109375)"
85.2,"(0.15, -10.27, 0.5700000000000001)","(6.0625, 30.6875, -12.1875)","(-0.08508480103472356, 0.013089969389957472, -0.02181661564992912)","(0.24, -1.3900000000000001, 0.19)","(0.03, -9.790000000000001, 0.43)","(0.0, 0.1875, 87.375)","(0.72296142578125, -0.69091796875, -0.00286865234375, -6.103515625e-05)"
86.2,"(-0.1, -10.290000000000001, 0.42)","(6.0625, 30.75, -11.5)","(0.009817477042468103, 0.0, -0.003272492347489368)","(0.0, -0.2, 0.03)","(0.03, -9.790000000000001, 0.46)","(359.9375, 0.1875, 87.25)","(0.72369384765625, -0.69012451171875, -0.00274658203125, 6.103515625e-05)"
87.15,"(-0.22, -9.96, 0.86)","(7.1875, -2017.3125, -11.875)","(0.003272492347489368, 0.00545415391248228, 0.004363323129985824)","(0.16, -0.84, 1.56)","(0.03, 317.89, 1.76)","(0.0, 0.1875, 87.125)","(0.7244873046875, -0.68927001953125, -0.0025634765625, 0.0)"
88.15,"(0.13, -9.870000000000001, 1.6300000000000001)","(6.0, -2016.5, -13.75)","(-0.009817477042468103, 0.002181661564992912, 0.002181661564992912)","(-0.03, -0.04, 0.31)","(0.04, -9.790000000000001, 0.47000000000000003)","(8.0, 0.25, -1960.8125)","(0.73193359375, -0.689697265625, -0.00286865234375, -0.00030517578125)"
89.16,"(0.07, -9.84, 1.79)","(6.6875, 22.5, -12.25)","(0.001090830782496456, 0.001090830782496456, 0.004363323129985824)","(0.03, -0.03, 0.07)","(0.05, -9.790000000000001, 0.48)","(0.0625, 0.3125, 87.125)","(0.72430419921875, -0.689453125, -0.003173828125, -0.00067138671875)"
