time,acc,magentic,angularVelocity,linAcc,gravAcc,euler,quaternion
2.2,"(0.05, -9.870000000000001, 0.16)","(11.0, 52.6875, -18.0625)","(-0.001090830782496456, -0.001090830782496456, -0.001090830782496456)","(0.03, -0.09, 0.0)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
3.2,"(0.05, -9.83, 0.15)","(10.5625, 52.25, -18.0625)","(0.002181661564992912, -0.004363323129985824, 0.0)","(0.03, -0.06, 0.01)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
4.2,"(1.37, -9.89, 0.16)","(11.75, 53.375, -18.0625)","(0.0, -0.003272492347489368, 0.001090830782496456)","(0.04, -0.1, -0.02)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
5.2,"(0.06, -9.88, 0.16)","(10.5625, 52.6875, -18.0625)","(0.003272492347489368, -0.001090830782496456, 0.002181661564992912)","(0.0, -0.05, -0.01)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
6.2,"(0.05, -9.86, 0.15)","(11.0, 52.25, -17.25)","(0.003272492347489368, 0.003272492347489368, -0.001090830782496456)","(0.0, -0.04, -0.03)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
7.2,"(0.06, -9.89, 0.13)","(11.375, 52.25, -18.375)","(0.1407171709420428, 0.003272492347489368, -0.001090830782496456)","(0.05, -0.07, -0.01)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
8.2,"(0.06, -9.870000000000001, 0.14)","(11.375, 52.6875, -18.375)","(-0.003272492347489368, 0.002181661564992912, -0.002181661564992912)","(0.01, -0.02, 0.0)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
9.2,"(0.06, 317.84000000000003, 0.15)","(10.5625, 53.0625, -18.75)","(-0.002181661564992912, -0.002181661564992912, 0.0)","(0.02, -0.03, -0.02)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
10.15,"(1.31, -9.83, 0.12)","(11.0, 53.0625, -25.6875)","(0.002181661564992912, -0.004363323129985824, 0.001090830782496456)","(0.0, -0.03, 0.0)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0078125)"
11.15,"(1.32, -9.83, 0.15)","(10.5625, 51.875, -25.6875)","(-0.004363323129985824, 0.0, -0.004363323129985824)","(0.02, -0.04, 0.0)","(0.04, -9.8, 0.15)","(0.0, 0.25, 81.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
12.15,"(1.34, -9.89, 0.15)","(10.5625, 52.6875, -18.0625)","(0.14289883250703572, -0.003272492347489368, 0.003272492347489368)","(0.02, -0.03, 0.01)","(0.04, -9.8, 1.43)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
13.2,"(0.06, -9.88, 0.14)","(9.875, 53.0625, -18.0625)","(-0.002181661564992912, 0.002181661564992912, 0.0)","(0.0, -0.07, 0.0)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
14.2,"(0.08, -9.86, 0.13)","(10.5625, 52.25, -18.0625)","(0.002181661564992912, -0.003272492347489368, 0.001090830782496456)","(0.02, -0.09, -0.03)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
15.2,"(0.06, -9.9, 0.15)","(9.875, 53.375, -18.0625)","(-0.002181661564992912, 0.001090830782496456, -0.1407171709420428)","(0.03, -0.07, -0.03)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
16.2,"(0.06, -9.86, 0.15)","(9.875, 52.25, -18.0625)","(-0.001090830782496456, -0.002181661564992912, -0.001090830782496456)","(0.01, -0.04, -0.02)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
17.2,"(0.06, -9.870000000000001, 0.15)","(10.25, 52.25, -18.375)","(-0.001090830782496456, 0.002181661564992912, 0.0)","(0.04, -0.06, 0.0)","(1.32, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
18.2,"(0.06, -9.86, 0.15)","(11.0, 53.0625, -17.25)","(0.002181661564992912, 0.001090830782496456, 0.001090830782496456)","(0.01, -0.06, -0.02)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0625)","(0.71282958984375, -0.7012939453125, -0.00323486328125, 0.0)"
19.2,"(0.06, -9.86, 0.17)","(10.5625, 52.25, -17.6875)","(-0.004363323129985824, -0.001090830782496456, -0.003272492347489368)","(0.0, 0.02, -0.01)","(0.04, -9.8, 0.15)","(0.0, 0.25, 89.0)","(0.7135009765625, -0.70068359375, -0.0032958984375, 0.0)"
20.2,"(0.02, -9.48, 0.05)","(6.6875, 23.1875, -12.1875)","(-0.015271630954950384, -0.002181661564992912, -0.003272492347489368)","(0.06, -0.15, -0.28)","(0.04, -9.8, 0.19)","(0.0, 0.25, 88.875)","(0.71392822265625, -0.7001953125, -0.00335693359375, -6.103515625e-05)"
21.2,"(0.2, -9.61, 0.12)","(6.0, 32.25, -12.375)","(0.008726646259971648, -0.002181661564992912, -0.003272492347489368)","(0.07, -0.39, -0.32)","(0.04, -9.8, 0.23)","(359.9375, 0.25, 88.625)","(0.7154541015625, -0.69866943359375, -0.00335693359375, 0.00030517578125)"
22.2,"(1.35, -9.78, 0.22)","(7.5, 30.375, -10.1875)","(-0.011999138607461015, -0.006544984694978736, 0.002181661564992912)","(2.16, -0.44, 0.17)","(0.06, -9.8, 0.22)","(0.0, 0.3125, 88.625)","(0.71533203125, -0.69879150390625, -0.00408935546875, -0.00042724609375)"
23.14,"(0.1, 317.75, 1.48)","(6.25, -2016.625, -10.5)","(0.0, -0.002181661564992912, -0.001090830782496456)","(-0.03, -0.05, 0.02)","(0.06, -9.8, 1.51)","(8.0, 0.3125, 80.625)","(0.7154541015625, -0.6986083984375, 1.9959716796875, -0.0003662109375)"
24.15,"(0.03, -9.83, 0.23)","(6.0, 31.75, -10.875)","(-0.001090830782496456, -0.00545415391248228, 0.0)","(-0.03, -0.05, 1.28)","(0.06, 317.88, 1.51)","(0.0, 0.3125, 80.625)","(0.7154541015625, -0.6986083984375, -0.0040283203125, -0.0003662109375)"
25.15,"(0.06, -9.870000000000001, 0.22)","(6.0, 31.75, -10.5)","(-0.001090830782496456, 0.14180800172453928, -0.001090830782496456)","(-0.01, -0.01, 0.03)","(1.34, 317.88, 1.51)","(0.0, 0.3125, 80.625)","(0.7154541015625, -0.6986083984375, -0.0040283203125, -0.0003662109375)"
26.2,"(0.09, -9.870000000000001, 0.32)","(6.0, 31.375, -12.0625)","(-0.00545415391248228, -0.003272492347489368, -0.004363323129985824)","(0.05, -0.24, 0.03)","(0.06, -9.8, 0.23)","(0.0, 0.3125, 88.625)","(0.71551513671875, -0.69854736328125, -0.0040283203125, -0.0003662109375)"
27.2,"(0.01, -9.790000000000001, 0.28)","(5.5625, 31.375, -10.5)","(0.003272492347489368, -0.002181661564992912, 0.001090830782496456)","(-0.03, 0.0, 0.07)","(0.06, -9.8, 0.23)","(0.0, 0.3125, 88.625)","(0.71551513671875, -0.69854736328125, -0.0040283203125, -0.0003662109375)"
28.2,"(0.06, -9.85, 0.19)","(6.0, 31.375, -10.875)","(-0.00545415391248228, 0.0, -0.001090830782496456)","(0.02, -0.04, -0.03)","(0.06, -9.8, 0.23)","(0.0, 0.3125, 88.5625)","(0.715576171875, -0.69854736328125, -0.0040283203125, -0.0003662109375)"
29.2,"(-0.08, -9.76, 0.41000000000000003)","(6.25, 31.75, -11.1875)","(-0.002181661564992912, 0.002181661564992912, -0.001090830782496456)","(-0.16, 0.01, 0.14)","(0.06, -9.8, 0.23)","(0.0, 0.3125, 88.5625)","(0.71563720703125, -0.69842529296875, -0.004150390625, -0.000244140625)"
30.2,"(-0.23, -9.61, 0.17)","(6.6875, 31.75, -10.875)","(-0.03381575425739013, 0.002181661564992912, -0.009817477042468103)","(-0.03, 0.05, -0.29)","(0.06, -9.8, 0.23)","(0.0, 0.3125, 88.625)","(0.7154541015625, -0.69866943359375, -0.004150390625, -0.00030517578125)"
31.2,"(0.02, -9.8, 0.28)","(6.25, 31.375, -11.1875)","(-0.007635815477475192, 0.003272492347489368, -0.002181661564992912)","(-0.07, 0.01, 0.05)","(0.06, -9.8, 0.22)","(0.0, 0.3125, 88.625)","(0.71527099609375, -0.6988525390625, -0.00421142578125, -0.0003662109375)"
32.2,"(0.06, -9.88, 0.19)","(6.25, 32.5, -10.875)","(-0.002181661564992912, -0.001090830782496456, 0.0)","(0.0, -0.05, -0.02)","(0.06, -9.8, 0.22)","(0.0, 0.3125, 88.625)","(0.71527099609375, -0.6988525390625, -0.00421142578125, -0.0003662109375)"
33.2,"(-0.25, -9.65, 0.42)","(6.25, 31.375, -10.875)","(0.004363323129985824, -0.004363323129985824, -0.011999138607461015)","(-0.27, -0.28, -0.3)","(0.06, -9.8, 0.23)","(0.0, 0.3125, 88.625)","(0.71514892578125, -0.69891357421875, -0.00421142578125, -0.00042724609375)"
34.2,"(0.0, -9.83, 0.33)","(6.6875, 31.0, -10.875)","(-0.001090830782496456, 0.003272492347489368, -0.002181661564992912)","(-0.04, -0.01, 0.1)","(0.06, -9.8, 0.22)","(0.0625, 0.375, 88.625)","(0.7152099609375, -0.69891357421875, -0.00421142578125, -0.00042724609375)"
