time,acc,magentic,angularVelocity,linAcc,gravAcc,euler,quaternion
1.2,"(-0.5, -8.77, -2.84)","(25.0, 34.5, -1.875)","(-0.007635815477475192, -0.007635815477475192, 0.002181661564992912)","(0.06, -0.07, 0.04)","(-0.41000000000000003, -8.790000000000001, -4.3)","(359.0625, -2.375, 116.0625)","(0.52947998046875, -0.84765625, 0.0333251953125, 0.004150390625)"
2.15,"(-0.5, -8.92, -4.3)","(16.25, 34.75, -2.6875)","(0.04690572364734761, -0.12871803233458182, 0.025089107997418487)","(0.39, 0.4, 0.66)","(-0.39, -8.81, -4.28)","(359.1875, -2.25, 116.0625)","(0.52960205078125, -0.84765625, 0.03228759765625, 0.00360107421875)"
3.14,"(-0.38, -8.950000000000001, -4.14)","(16.375, 34.875, -10.25)","(-0.009817477042468103, -0.007635815477475192, 0.1461713248545251)","(0.02, 0.01, 0.07)","(-0.37, -8.83, -4.23)","(359.3125, -2.1875, 115.625)","(0.5328369140625, -0.84564208984375, 0.031005859375, 0.003173828125)"
4.13,"(-0.38, 318.85, -2.89)","(16.0, 34.875, -2.6875)","(-0.002181661564992912, -0.002181661564992912, 0.14180800172453928)","(-0.01, 0.0, 0.06)","(-0.37, -8.83, -4.23)","(359.25, -2.1875, 115.5625)","(0.532958984375, -0.8455810546875, 0.03094482421875, 0.00323486328125)"
5.16,"(-0.33, -9.0, -4.25)","(15.75, 35.5625, -1.875)","(0.008726646259971648, 0.007635815477475192, -0.01090830782496456)","(-0.01, -0.23, -0.06)","(-0.37, -8.83, -4.22)","(-1680.75, -10.1875, 115.5)","(0.53314208984375, -0.853271484375, 0.031005859375, 0.0032958984375)"
6.17,"(-0.37, -8.83, -4.01)","(24.5, 34.875, -2.6875)","(-0.016362461737446838, 0.1505346479845109, 0.02181661564992912)","(0.01, -1.51, -0.07)","(-0.36, -8.86, -4.16)","(359.4375, -2.125, 115.125)","(0.54400634765625, -0.843505859375, 0.0308837890625, 0.00250244140625)"
7.17,"(-0.42, 318.84000000000003, -2.89)","(15.75, 35.25, -10.5625)","(0.1461713248545251, 0.0, -0.008726646259971648)","(1.35, -0.25, -0.04)","(-0.36, -8.870000000000001, -2.87)","(-1680.5, -10.0625, 115.0)","(0.53759765625, -0.8426513671875, 0.03082275390625, 0.00225830078125)"
8.1,"(-0.36, -8.84, -3.73)","(15.0, 34.6875, -2.25)","(-0.014180800172453928, 0.022907446432425576, -0.006544984694978736)","(-0.04, -0.06, -0.15)","(-0.36, -8.89, -4.11)","(359.5625, -2.0625, 114.75)","(0.53900146484375, -0.84173583984375, 0.03118896484375, 0.00201416015625)"
9.12,"(-0.32, -8.91, -3.93)","(15.375, 34.75, -3.75)","(-0.003272492347489368, 0.002181661564992912, 0.003272492347489368)","(0.0, 0.05, 0.04)","(-0.35000000000000003, -8.91, -4.0600000000000005)","(359.625, -2.0625, 114.4375)","(0.5411376953125, -0.84039306640625, 0.03125, 0.001708984375)"
10.12,"(-0.29, -8.92, -4.05)","(16.0625, 35.0625, -4.1875)","(-0.001090830782496456, -0.001090830782496456, 0.002181661564992912)","(-0.02, -0.01, -0.03)","(-0.36, -8.91, -4.0600000000000005)","(359.5625, -2.0625, 114.5)","(0.54107666015625, -0.84039306640625, 0.03131103515625, 0.00189208984375)"
11.13,"(-0.37, -9.01, -4.11)","(16.0625, 33.5625, -3.75)","(0.011999138607461015, -0.007635815477475192, -0.001090830782496456)","(0.02, 0.0, 0.06)","(-0.36, -8.91, -4.05)","(359.625, -2.0625, 114.4375)","(0.54132080078125, -0.8402099609375, 0.031494140625, 0.001708984375)"
12.13,"(-0.32, -8.72, -3.9)","(15.75, 34.875, -5.0)","(-0.004363323129985824, 0.020725784867432664, -0.008726646259971648)","(0.06, 0.02, 0.03)","(-0.36, -8.91, -4.0600000000000005)","(359.5625, -2.125, 114.4375)","(0.54119873046875, -0.84033203125, 0.03167724609375, 0.001953125)"
