time,acc,magentic,angularVelocity,linAcc,gravAcc,euler,quaternion
13.11,"(-0.33, -8.88, -4.03)","(15.375, 35.1875, -4.1875)","(-0.002181661564992912, 0.0, -0.001090830782496456)","(0.01, 0.0, 0.1)","(-0.36, -8.91, -4.0600000000000005)","(359.625, -2.125, 114.5)","(0.54107666015625, -0.84039306640625, 0.03204345703125, 0.00152587890625)"
14.11,"(-0.4, -8.94, -4.03)","(15.75, 34.875, -11.75)","(0.004363323129985824, 0.003272492347489368, -0.003272492347489368)","(0.04, 0.01, 0.09)","(-0.36, -8.91, -4.0600000000000005)","(359.625, -2.125, 114.5)","(0.5408935546875, -0.8404541015625, 0.03228759765625, 0.00152587890625)"
15.11,"(-0.29, -9.05, -4.0)","(15.75, 35.5625, -3.75)","(-0.001090830782496456, -0.01090830782496456, 0.1439896632895322)","(-0.01, 0.12, 0.16)","(-0.36, -8.91, -4.0600000000000005)","(359.6875, -2.125, 114.5)","(0.5408935546875, -0.8404541015625, 0.0323486328125, 0.00146484375)"
16.12,"(-0.32, -8.98, -3.91)","(15.75, 34.5, -4.1875)","(0.004363323129985824, 0.009817477042468103, 0.003272492347489368)","(0.08, -0.05, 0.08)","(-0.37, -8.92, -4.04)","(359.625, -2.125, 114.375)","(0.5418701171875, -0.83984375, 0.0322265625, 0.0015869140625)"
17.12,"(-0.29, -8.9, -3.98)","(16.5, 34.0625, -4.1875)","(0.01090830782496456, -0.006544984694978736, 0.002181661564992912)","(0.07, -0.19, 0.11)","(-0.36, -8.94, -4.0)","(359.6875, -2.125, 114.125)","(0.5438232421875, -0.83856201171875, 0.0323486328125, 0.00128173828125)"
18.13,"(-0.37, -9.22, -2.86)","(15.75, 34.1875, -5.0625)","(0.020725784867432664, 0.004363323129985824, -0.1559888018969932)","(0.11, -0.21, 0.11)","(-0.35000000000000003, -8.96, -3.96)","(359.75, -2.0625, 113.8125)","(0.5458984375, -0.8372802734375, 0.0313720703125, 0.001220703125)"
19.12,"(-0.33, -8.94, -3.89)","(15.375, 34.5625, -5.5)","(-0.001090830782496456, 0.00545415391248228, -0.004363323129985824)","(0.02, -0.03, 0.0)","(-0.34, -8.96, -3.95)","(359.875, -2.0, 113.75)","(0.54632568359375, -0.83697509765625, 0.03143310546875, 0.00048828125)"
20.12,"(-0.29, -9.05, -3.93)","(15.375, 34.1875, -4.25)","(-0.001090830782496456, -0.002181661564992912, 0.0)","(0.02, 0.0, 0.07)","(-0.34, -8.96, -3.95)","(359.875, -2.0, 113.75)","(0.54632568359375, -0.83697509765625, 0.03143310546875, 0.00048828125)"
21.12,"(-0.32, -8.99, -3.9)","(16.1875, 33.75, -3.5625)","(-0.004363323129985824, -0.00545415391248228, 0.001090830782496456)","(0.05, -0.03, 0.07)","(-0.34, -8.97, -3.94)","(359.875, -2.0, 113.75)","(0.54656982421875, -0.83685302734375, 0.0313720703125, 0.00042724609375)"
22.12,"(-0.25, -9.31, -4.1)","(15.75, 35.25, -3.5625)","(-0.020725784867432664, -0.001090830782496456, 0.014180800172453928)","(0.0, 0.27, 0.17)","(-0.34, -8.96, -3.95)","(359.9375, -1.9375, 113.75)","(0.54632568359375, -0.83697509765625, 0.0316162109375, 6.103515625e-05)"
23.12,"(-0.23, -9.03, -3.94)","(15.75, 34.0625, -4.6875)","(0.00545415391248228, -0.017453292519943295, -0.003272492347489368)","(0.3, -0.01, 0.17)","(-0.32, -8.97, -3.94)","(0.0, -1.875, 113.75)","(0.54656982421875, -0.83685302734375, 0.03118896484375, -0.000244140625)"
24.12,"(-0.34, -8.97, -3.85)","(15.0, 34.0625, -5.0625)","(-0.001090830782496456, 0.003272492347489368, -0.001090830782496456)","(-0.03, -0.03, 0.0)","(-0.31, -8.97, -3.93)","(0.3125, -1.8125, 113.6875)","(0.54693603515625, -0.8365478515625, 0.03216552734375, -0.00177001953125)"
25.12,"(-0.27, -9.03, -3.83)","(16.1875, 35.1875, -3.875)","(0.0, -0.006544984694978736, 0.002181661564992912)","(0.0, -0.04, 1.4000000000000001)","(-0.31, -8.97, -3.93)","(0.375, -1.8125, 113.625)","(0.547119140625, -0.83642578125, 0.0322265625, -0.00189208984375)"
26.12,"(-0.34, -8.66, -3.93)","(16.5, 34.0625, -5.0)","(-0.018544123302439753, -0.003272492347489368, -0.009817477042468103)","(0.02, -0.25, 0.19)","(-0.31, -8.97, -3.92)","(0.25, -1.875, 113.625)","(0.54730224609375, -0.8363037109375, 0.0321044921875, -0.0015869140625)"
27.16,"(-0.44, -8.82, -3.7)","(16.1875, 35.1875, 2035.75)","(-0.002181661564992912, 0.004363323129985824, -0.1439896632895322)","(0.0, -0.09, -0.01)","(-0.29, -7.73, -3.85)","(8.5, -9.6875, 113.125)","(0.5509033203125, -0.833984375, 0.03094482421875, -0.00262451171875)"
28.12,"(-0.03, -8.84, -3.67)","(16.1875, 34.0625, -5.375)","(-0.007635815477475192, 0.028361600344907856, 0.002181661564992912)","(-0.2, 0.17, 0.03)","(-0.28, -9.02, -3.8200000000000003)","(0.625, -1.625, 112.9375)","(0.55230712890625, -0.83306884765625, 0.03094482421875, -0.003173828125)"
29.12,"(-0.33, -8.98, -3.92)","(16.375, 33.75, -5.0)","(0.011999138607461015, 0.001090830782496456, 0.00545415391248228)","(-0.02, 0.0, 0.04)","(-0.27, -9.03, -3.79)","(0.9375, -1.5625, 112.75)","(0.55364990234375, -0.83209228515625, 0.0323486328125, -0.00482177734375)"
30.12,"(-0.33, -8.93, -3.5500000000000003)","(16.375, 33.5, -4.5625)","(-0.016362461737446838, 0.008726646259971648, 0.001090830782496456)","(-0.12, -0.03, -0.09)","(-0.28, -9.03, -3.79)","(1.0, -1.625, 112.75)","(0.55364990234375, -0.83209228515625, 0.03326416015625, -0.00494384765625)"
31.12,"(-0.3, -9.07, -3.8200000000000003)","(16.0625, 33.5625, -5.5)","(0.006544984694978736, -0.001090830782496456, 0.0)","(-0.03, 0.06, 0.0)","(-0.28, -9.03, -3.79)","(1.0, -1.625, 112.75)","(0.55377197265625, -0.83197021484375, 0.03326416015625, -0.00494384765625)"
32.12,"(-0.41000000000000003, -9.05, -3.85)","(15.6875, 32.5, -14.25)","(0.011999138607461015, 0.003272492347489368, 0.002181661564992912)","(-0.07, 0.07, 0.13)","(-0.27, -9.040000000000001, -3.79)","(1.0, -1.625, 112.6875)","(0.55377197265625, -0.83203125, 0.03302001953125, -0.0048828125)"
33.12,"(-0.33, -9.02, -3.5)","(15.6875, 33.1875, -5.1875)","(0.004363323129985824, 0.016362461737446838, -0.00545415391248228)","(-0.11, -0.01, 0.0)","(-0.28, -9.040000000000001, -3.77)","(1.0625, -1.625, 112.625)","(0.55438232421875, -0.83160400390625, 0.03369140625, -0.0054931640625)"
34.12,"(-0.27, -8.88, -3.93)","(16.0, 32.875, -5.875)","(0.028361600344907856, 0.003272492347489368, -0.017453292519943295)","(0.28, 0.07, 0.04)","(-0.26, -9.05, -3.7600000000000002)","(1.3125, -1.5, 112.5625)","(0.55499267578125, -0.83111572265625, 0.03399658203125, -0.00665283203125)"
35.12,"(-0.19, -8.94, -3.66)","(16.0, 31.5, -6.6875)","(0.014180800172453928, 0.003272492347489368, 0.004363323129985824)","(0.02, 0.08, 0.02)","(-0.25, -9.07, -3.71)","(1.6875, -1.4375, 112.25)","(0.55706787109375, -0.82965087890625, 0.0357666015625, -0.00823974609375)"
36.12,"(-0.25, -8.98, -3.68)","(-2032.8125, 32.1875, -6.6875)","(0.007635815477475192, 0.004363323129985824, -0.006544984694978736)","(-0.04, 0.06, 0.04)","(-0.25, -9.07, -3.7)","(1.75, -1.4375, 112.125)","(0.55792236328125, -0.8291015625, 0.03558349609375, -0.008544921875)"
37.12,"(-0.15, -9.05, -3.5)","(16.0, 32.1875, -6.6875)","(-0.013089969389957472, 0.00545415391248228, 0.006544984694978736)","(-0.07, -0.03, -0.03)","(-0.24, -9.07, -3.69)","(1.75, -1.4375, 112.125)","(0.5582275390625, -0.82891845703125, 0.03546142578125, -0.0086669921875)"
38.11,"(-0.16, -9.09, -3.64)","(17.0, 31.875, -7.5)","(0.001090830782496456, -0.004363323129985824, 0.0)","(-0.01, 0.01, 0.08)","(-0.24, -9.08, -3.67)","(1.75, -1.4375, 112.0)","(0.55902099609375, -0.82830810546875, 0.03564453125, -0.00872802734375)"
39.12,"(-0.23, -9.1, -3.5500000000000003)","(17.375, 31.5, -7.0625)","(0.004363323129985824, 0.008726646259971648, -0.001090830782496456)","(0.0, -0.03, 0.08)","(-0.24, -9.09, -3.67)","(1.75, -1.4375, 111.9375)","(0.55926513671875, -0.82818603515625, 0.03564453125, -0.00872802734375)"
40.12,"(-0.25, -9.05, -3.62)","(15.0625, 30.75, -7.1875)","(0.003272492347489368, 0.00545415391248228, 0.0)","(0.01, -0.13, -0.03)","(-0.24, -9.09, -3.65)","(1.8125, -1.375, 111.875)","(0.559814453125, -0.8277587890625, 0.03558349609375, -0.009033203125)"
41.12,"(-0.22, -9.05, -3.52)","(16.5625, 31.5625, -6.75)","(0.001090830782496456, 0.007635815477475192, -0.00545415391248228)","(0.04, -0.05, 0.06)","(-0.23, -9.1, 324.05)","(1.9375, -1.3125, 111.75)","(0.56097412109375, -0.8270263671875, 0.0352783203125, -0.009521484375)"
42.12,"(-0.24, -9.22, -3.42)","(15.375, 31.6875, -8.0625)","(-0.002181661564992912, 0.0, 0.004363323129985824)","(-0.11, 0.07, 0.08)","(-0.23, -9.11, -3.61)","(1.9375, -1.3125, 111.625)","(0.56170654296875, -0.82647705078125, 0.03558349609375, -0.00970458984375)"
43.12,"(-0.1, -9.18, -3.5700000000000003)","(15.75, 32.875, -7.0)","(-0.001090830782496456, -0.009817477042468103, -0.004363323129985824)","(0.0, 0.1, 0.01)","(-0.22, -9.120000000000001, -3.59)","(2.0625, -1.3125, 111.5)","(0.562744140625, -0.8258056640625, 0.03594970703125, -0.01043701171875)"
44.13,"(-0.14, -9.19, -3.43)","(15.5625, 32.5625, -8.1875)","(0.019634954084936207, -0.011999138607461015, 0.003272492347489368)","(-0.09, 0.0, 0.15)","(-0.21, -9.14, -3.5300000000000002)","(2.25, -1.25, 111.125)","(0.565185546875, -0.8240966796875, 0.0364990234375, -0.011474609375)"
45.12,"(-0.22, -9.07, -3.27)","(15.875, 31.5, -9.6875)","(-0.015271630954950384, 0.014180800172453928, -0.004363323129985824)","(0.14, -0.13, -0.01)","(-0.21, -9.14, -3.52)","(2.3125, -1.25, 111.0625)","(0.5657958984375, -0.82366943359375, 0.0367431640625, -0.01165771484375)"
46.13,"(-0.14, -9.21, -3.45)","(15.1875, 31.5, -9.0)","(-0.002181661564992912, -0.004363323129985824, 0.002181661564992912)","(0.07, -0.16, 0.19)","(-0.21, -9.15, -3.52)","(2.375, -1.25, 111.0)","(0.56610107421875, -0.82342529296875, 0.0369873046875, -0.01202392578125)"
47.12,"(-0.18, -9.13, -3.4)","(14.75, 33.0, -8.5)","(0.002181661564992912, 0.002181661564992912, -0.002181661564992912)","(0.01, -0.03, 0.06)","(-0.21, -9.16, -3.48)","(2.4375, -1.1875, 110.8125)","(0.567626953125, -0.8223876953125, 0.036865234375, -0.01220703125)"
48.14,"(-0.18, -9.17, -3.24)","(15.5, 32.1875, -9.25)","(0.015271630954950384, -0.008726646259971648, 0.0)","(0.0, 0.0, 0.04)","(-0.21, -9.21, -3.34)","(2.4375, -1.1875, 109.9375)","(0.5736083984375, -0.8182373046875, 0.03662109375, -0.01239013671875)"
49.13,"(-0.16, -9.25, -3.2800000000000002)","(15.0625, 32.1875, -10.0625)","(-0.004363323129985824, 0.0, 0.003272492347489368)","(0.03, -0.03, 0.06)","(-0.21, -9.21, -3.35)","(2.4375, -1.1875, 109.9375)","(0.573486328125, -0.81829833984375, 0.03662109375, -0.01239013671875)"
50.12,"(-0.19, -9.24, -3.2)","(15.75, 32.1875, -9.25)","(-0.009817477042468103, 0.009817477042468103, 0.002181661564992912)","(0.07, -0.02, 0.03)","(-0.21, -9.21, -3.35)","(2.4375, -1.25, 110.0)","(0.5732421875, -0.8184814453125, 0.03680419921875, -0.01239013671875)"
51.12,"(-0.19, -9.18, -3.2600000000000002)","(15.75, 31.75, -9.6875)","(0.002181661564992912, -0.002181661564992912, 0.003272492347489368)","(0.01, 0.01, 0.08)","(-0.2, -9.21, -3.34)","(2.5, -1.1875, 109.9375)","(0.57379150390625, -0.81805419921875, 0.03662109375, -0.01275634765625)"
52.13,"(-0.23, -9.49, -3.24)","(15.75, 32.5625, -8.5)","(0.003272492347489368, -0.008726646259971648, -0.002181661564992912)","(0.33, -0.09, 0.04)","(-0.2, -9.21, -3.33)","(2.5625, -1.1875, 109.875)","(0.57403564453125, -0.81793212890625, 0.03692626953125, -0.012939453125)"
53.12,"(-0.27, -9.34, -3.4)","(15.1875, 32.875, -10.0625)","(0.015271630954950384, 0.00545415391248228, 0.004363323129985824)","(-0.03, 0.0, 0.09)","(-0.23, -9.24, -3.2600000000000002)","(3.0625, -1.375, 109.4375)","(0.5775146484375, -0.81512451171875, 0.04266357421875, -0.01544189453125)"
54.12,"(-0.42, -8.69, -2.94)","(15.75, 32.5625, -8.875)","(-0.01090830782496456, 0.009817477042468103, -0.022907446432425576)","(-0.03, -0.32, -0.06)","(-0.21, -9.25, -3.22)","(3.25, -1.25, 109.1875)","(0.57916259765625, -0.81390380859375, 0.0430908203125, -0.0167236328125)"
55.12,"(-0.16, -9.03, -3.0500000000000003)","(14.25, 32.5625, -10.0)","(-0.011999138607461015, 0.014180800172453928, 0.0)","(0.05, -0.14, -0.12)","(-0.21, -9.25, -3.23)","(3.5, -1.25, 109.25)","(0.5787353515625, -0.8140869140625, 0.0440673828125, -0.017822265625)"
56.11,"(-0.26, -8.9, -3.2600000000000002)","(16.5, 33.1875, -6.25)","(0.05672320068981571, -0.00545415391248228, 0.015271630954950384)","(0.04, -0.22, -0.09)","(-0.2, -9.25, -3.23)","(3.6875, -1.1875, 109.25)","(0.57879638671875, -0.8140869140625, 0.0445556640625, -0.01861572265625)"
57.18,"(-0.12, -9.31, -3.08)","(16.875, 32.0, 2034.8125)","(-0.00545415391248228, 0.003272492347489368, 0.0)","(0.03, -0.1, 0.08)","(-0.2, -7.97, -3.22)","(3.8125, -9.1875, 109.1875)","(0.57891845703125, -0.8216552734375, 0.045654296875, -0.01971435546875)"
58.14,"(-0.18, -9.200000000000001, -3.2600000000000002)","(16.875, 32.0, -6.0)","(0.020725784867432664, 0.011999138607461015, -0.007635815477475192)","(0.2, 0.09, 0.13)","(-0.18, -9.26, -3.21)","(4.75, -1.0625, 109.125)","(0.57928466796875, -0.813232421875, 0.05023193359375, -0.02410888671875)"
59.11,"(-0.33, -8.99, -3.12)","(17.875, 30.875, -6.0)","(0.0, 0.007635815477475192, -0.01090830782496456)","(0.08, -0.05, -0.04)","(-0.18, -9.26, -3.21)","(5.0, -1.0625, 109.0625)","(0.579345703125, -0.81304931640625, 0.052001953125, -0.02545166015625)"
60.11,"(-0.2, -9.24, -3.15)","(17.875, 31.25, -5.5625)","(0.003272492347489368, 0.002181661564992912, 0.0)","(-0.02, -0.02, 0.09)","(-0.18, -9.26, -3.22)","(5.0625, -1.0625, 109.125)","(0.578857421875, -0.8133544921875, 0.05242919921875, -0.02581787109375)"
61.12,"(-0.42, -9.120000000000001, -2.81)","(18.75, 32.375, -5.0)","(-0.020725784867432664, 0.014180800172453928, -0.01090830782496456)","(0.41000000000000003, -0.08, -0.18)","(-0.17, -9.26, -3.22)","(5.5, -1.0, 109.125)","(0.57855224609375, -0.8133544921875, 0.05462646484375, -0.02789306640625)"
62.15,"(-0.2, -9.27, -3.0700000000000003)","(25.25, 30.6875, -5.0625)","(0.1407171709420428, 0.001090830782496456, -0.006544984694978736)","(1.43, 0.03, 0.02)","(-0.17, -9.25, -3.23)","(5.625, -1.0, 109.25)","(0.57806396484375, -0.81353759765625, 0.055908203125, -0.02862548828125)"
63.12,"(-0.43, -8.9, -2.87)","(18.0, 30.6875, -5.5)","(-0.016362461737446838, 0.00545415391248228, 0.01090830782496456)","(0.01, 0.11, 0.02)","(-0.18, -9.26, -3.22)","(5.625, -1.0625, 109.1875)","(0.57861328125, -0.8131103515625, 0.05657958984375, -0.0286865234375)"
64.12,"(-0.18, -9.25, -3.09)","(17.5625, 30.6875, -4.6875)","(-0.003272492347489368, 0.003272492347489368, -0.006544984694978736)","(0.14, 0.0, 0.06)","(-0.18, -9.25, -3.22)","(5.75, -1.0, 109.1875)","(0.57855224609375, -0.8131103515625, 0.0570068359375, -0.0291748046875)"
65.12,"(-0.22, -9.19, 324.43)","(18.375, 30.6875, -5.375)","(0.0, 0.008726646259971648, -0.00545415391248228)","(-0.03, -0.08, 0.02)","(-0.18, -9.26, -3.21)","(5.75, -1.0, 109.125)","(0.578857421875, -0.81292724609375, 0.0570068359375, -0.029296875)"
66.12,"(-0.15, -9.32, -3.15)","(17.1875, 30.25, -6.375)","(0.0, 0.009817477042468103, -0.007635815477475192)","(0.09, -0.09, 0.0)","(-0.17, -9.26, -3.21)","(5.8125, -1.0, 109.0625)","(0.57916259765625, -0.81268310546875, 0.05731201171875, -0.02960205078125)"
67.12,"(-0.1, -9.290000000000001, -3.0300000000000002)","(17.1875, 31.375, -5.75)","(-0.011999138607461015, 0.006544984694978736, 0.00545415391248228)","(-0.05, 0.03, -0.05)","(-0.16, -9.26, -3.2)","(6.375, -0.9375, 109.0625)","(0.57928466796875, -0.812255859375, 0.06036376953125, -0.032470703125)"
68.12,"(-0.25, -9.33, -3.24)","(18.6875, 29.875, -6.25)","(0.015271630954950384, -0.007635815477475192, 0.003272492347489368)","(-0.04, 0.15, 0.13)","(-0.16, -9.27, -3.19)","(6.625, -0.9375, 108.9375)","(0.57977294921875, -0.81170654296875, 0.06170654296875, -0.03375244140625)"
69.12,"(-0.19, -9.19, -3.16)","(18.375, 29.875, -6.1875)","(0.002181661564992912, -0.002181661564992912, -0.004363323129985824)","(0.03, -0.06, 0.01)","(-0.16, -9.27, -3.18)","(6.625, -0.9375, 108.9375)","(0.58001708984375, -0.81158447265625, 0.06170654296875, -0.03369140625)"
70.12,"(-0.16, -9.28, -3.15)","(18.0, 29.875, -6.1875)","(0.001090830782496456, -0.004363323129985824, -0.001090830782496456)","(0.0, 0.0, 0.0)","(-0.16, -9.27, -3.18)","(6.625, -0.9375, 108.9375)","(0.58001708984375, -0.81158447265625, 0.06170654296875, -0.03369140625)"
71.12,"(-0.12, -9.290000000000001, -3.19)","(18.375, 30.25, -5.75)","(-0.003272492347489368, 0.006544984694978736, 0.001090830782496456)","(-0.04, 0.04, 0.02)","(-0.16, -9.27, -3.18)","(6.625, -0.9375, 108.9375)","(0.58001708984375, -0.81158447265625, 0.06170654296875, -0.03369140625)"
72.12,"(-0.25, -9.26, -3.12)","(18.375, 30.6875, -5.75)","(-0.001090830782496456, -0.003272492347489368, 0.001090830782496456)","(0.01, 0.05, 0.04)","(-0.16, -9.27, -3.18)","(6.625, -0.9375, 108.9375)","(0.580078125, -0.8115234375, 0.06170654296875, -0.03369140625)"
73.15,"(-0.17, -9.27, -3.16)","(18.0, 29.875, -6.1875)","(0.002181661564992912, 0.001090830782496456, -0.14726215563702155)","(0.04, -0.08, -0.02)","(-0.16, -9.27, -3.18)","(6.625, -0.9375, 108.875)","(0.58026123046875, -0.8114013671875, 0.0618896484375, -0.03387451171875)"
74.12,"(-0.18, -9.19, -3.17)","(18.375, 30.25, -5.75)","(-0.004363323129985824, -0.004363323129985824, 0.004363323129985824)","(0.01, 0.05, -0.04)","(-0.16, -9.27, -3.18)","(6.625, -8.9375, 108.875)","(0.58026123046875, -0.8114013671875, 0.0618896484375, -0.03387451171875)"
75.12,"(-0.16, -9.25, -3.22)","(19.0625, 31.0, -7.375)","(0.004363323129985824, 0.0, -0.001090830782496456)","(-0.04, 0.02, 0.05)","(-0.16, -9.27, -3.17)","(6.625, -0.9375, 108.875)","(0.58038330078125, -0.811279296875, 0.0618896484375, -0.03387451171875)"
76.14,"(-0.07, -9.22, -3.15)","(18.375, 29.875, -6.0)","(0.019634954084936207, 0.001090830782496456, -0.004363323129985824)","(-0.06, 0.19, 0.1)","(-0.16, -9.27, -3.17)","(6.6875, -0.9375, 108.875)","(0.5804443359375, -0.81121826171875, 0.062255859375, -0.033935546875)"
77.12,"(-0.02, -9.5, -3.44)","(19.0625, 30.6875, -6.75)","(-0.006544984694978736, -0.004363323129985824, 0.004363323129985824)","(-0.02, 0.19, 0.01)","(-0.17, -9.27, -3.18)","(6.75, -0.9375, 108.9375)","(0.5799560546875, -0.81146240234375, 0.06298828125, -0.03411865234375)"
78.12,"(-0.17, -9.19, -3.24)","(19.375, 30.25, -6.0625)","(0.01090830782496456, -0.002181661564992912, -0.00545415391248228)","(0.0, -0.04, 0.03)","(-0.18, -9.27, -3.17)","(6.6875, -1.0625, 108.875)","(0.58050537109375, -0.81103515625, 0.063720703125, -0.03411865234375)"
79.12,"(-0.11, -9.26, -3.12)","(18.0, 29.875, -6.75)","(-0.00545415391248228, 0.008726646259971648, 0.002181661564992912)","(-0.04, 0.02, -0.07)","(-0.18, -9.27, -3.17)","(6.6875, -1.0625, 108.875)","(0.58050537109375, -0.81103515625, 0.0638427734375, -0.0340576171875)"
80.12,"(-0.24, -9.16, -3.11)","(19.375, 30.0, -7.25)","(0.001090830782496456, 0.001090830782496456, 0.002181661564992912)","(0.01, 0.06, -0.03)","(-0.18, -9.28, -3.15)","(6.875, -9.0625, 108.75)","(0.58135986328125, -0.81024169921875, 0.06500244140625, -0.03515625)"
81.12,"(-0.14, -9.25, -3.37)","(18.6875, 29.25, -6.5)","(0.0, 0.007635815477475192, -0.004363323129985824)","(-0.04, -0.18, -0.08)","(-0.17, -9.27, -3.16)","(7.0, -1.0, 108.8125)","(0.58074951171875, -0.8106689453125, 0.0655517578125, -0.03570556640625)"
82.12,"(-0.22, -9.3, -3.21)","(18.375, 29.25, -6.0625)","(-0.001090830782496456, -0.006544984694978736, 0.009817477042468103)","(-0.12, 0.16, 0.04)","(-0.17, -9.28, -3.16)","(7.0625, -1.0, 108.8125)","(0.580810546875, -0.81060791015625, 0.0657958984375, -0.03594970703125)"
83.12,"(-0.03, -9.24, -3.12)","(19.0625, 29.25, -6.5625)","(-0.006544984694978736, -0.004363323129985824, -0.001090830782496456)","(0.11, 0.06, -0.06)","(-0.17, -9.27, -3.16)","(7.0625, -1.0, 108.8125)","(0.58062744140625, -0.81072998046875, 0.06585693359375, -0.035888671875)"
84.12,"(-0.03, -9.370000000000001, -3.02)","(18.6875, 29.25, -5.6875)","(-0.009817477042468103, 0.00545415391248228, 0.00545415391248228)","(0.07, 0.04, -0.03)","(-0.17, -9.27, -3.16)","(7.0625, -1.0, 108.8125)","(0.5806884765625, -0.81060791015625, 0.06591796875, -0.0360107421875)"
85.12,"(-0.3, -9.16, -3.09)","(19.0625, 30.75, -6.5625)","(0.01090830782496456, -0.018544123302439753, -0.003272492347489368)","(0.16, -0.06, 0.22)","(-0.18, -9.27, -3.16)","(7.0625, -1.0625, 108.875)","(0.58038330078125, -0.81085205078125, 0.066162109375, -0.035888671875)"
86.12,"(-0.12, -9.290000000000001, -3.15)","(18.6875, 29.5625, -8.0625)","(0.003272492347489368, 0.004363323129985824, -0.003272492347489368)","(0.0, 0.0, 0.04)","(-0.17, -9.27, -3.16)","(7.0625, -1.0, 108.8125)","(0.58074951171875, -0.81060791015625, 0.0660400390625, -0.03594970703125)"
87.12,"(-0.09, -9.200000000000001, -3.0100000000000002)","(19.0625, 30.25, -6.5625)","(-0.004363323129985824, 0.006544984694978736, 0.003272492347489368)","(-0.06, 0.04, -0.1)","(-0.17, -9.27, -3.16)","(7.0625, -1.0, 108.8125)","(0.580810546875, -0.810546875, 0.06610107421875, -0.03607177734375)"
